"Amount","OriginalCurrency","TargetCurrency","ConvertedAmount","Status"
"1000.0","USD","EUR","940.0","Success"
"500.0","EUR","GBP","430.0","Success"
"200.0","ABC","USD","0.0","Failed"
"150.0","USD","XYZ","0.0","Failed"
"300.0","GBP","INR","0.0","Failed"
"400.0","AUD","CAD","356.0","Success"
"145.0","CAD","USD","105.85","Success"
"500.0","CHF","AUD","845.0","Success"
"600.0","USD","CHF","546.0","Success"
"700.0","JPY","USD","4.55","Success"
"1500.0","BTC ","INR","0.0","Failed"
"2700.0","USD","123","0.0","Failed"
"3500.0","677","GBP","0.0","Failed"
